...1, N
MS0032_3-3, 5
MS-0033_3-3, 5
MS-0042_3-3, 5
MS-0027_3-3, 4
MS-0035_3-3, 4
MS-0317_3-3, 4
MS-0335_4-4, 4
MS-0017_3-3, 3
MS-0010_3-3, 2
MS-0019_3-3, 2
MS_0355_3-3, 2
