channel_network, N
Comp; Fox News, 1
Comp; Fox, 1
CNN; ABC, 1
Comp-B, 1
MSNBC; Comp; C-SPAN, 1
Comp-B; MSNBC; CNBC, 1
ABC or NBC [unclear], 1
Comp; CBS, 1
CNBC; Comp, 1
Comp B, 1
Comp B; MSNBC, 1
CompB; CNBC, 1
CBS: CompB, 1
CompB; MSNBC, 1
Comp; PBS, 1
CBS-3;ABC-6; MSNBC, 1
FOX (NEWS?), 1
MSNBC; CNBC; COMP, 1
CNBC; PBS; COMP, 1
CNN CTL; COMP, 1
CNBC; MSNBC; PBS, 1
CNN; CNBC; COMP, 1
MTG; FOX, 1
FOX; BBC, 1
FOX NEWS SUNDAY; BBC, 1
BBC; C-SPAN; ABC, 1
C-SPAN; ABC; CBS, 1
COMP: C-SPAN, 1
COMP; C-SPAN; MSNBC; CNN, 1
MSNBC - 30, 1
MSNBC; FOX NEWS; NBC 10, 1
MSNBC; FOX SUNDAY; NBC 10, 1
MSNBC; FOX; NBC 9, 1
ABC 6; PBS; CBS 3, 1
COPM, 1
CBS 3; PBS, 1
C-SPAN; ABC 6; PBS 12, 1
CBS; NBC; PBS 12, 1
PBS 12; COMP, 1
CBS 3; NBC 10; PBS 12; CNN;, 1
C-SPAN2; CNBC, 1
CNBC; PBS 12, 1
CBS 3; NBC 10, 1
CNN; CNN 8, 1
COMP; CNN; CNBC, 1
C-SPANC-SPAN 2; Book (Illegible) TV, 1
Telecourses, 1
C-SPAN 2; Book (Illegible) TV, 1
CNN (Illegible), 1
A&E CH 30, 1
NBC 10; ABC 6; Illegible, 1
Comedy; NBC-10; ABC-6; NBC-10, 1
PBS 12; PT2, 1
CNBC; CBS, 1
PBS; CNBC, 1
NBR; PBS 12; ABC-6, 1
CH 34; TALK BACK, 1
OJ NEWS; KELLY FLINN; SUN; COMMENCEMENT CLIPS, 1
COMP; NITELINE; GORE/NAACP, 1
NITELINE, 1
C-SPAN; CBS-3; ABC-6; C-SPAN, 1
C-SPAN; NBR, 1
Comedy; ABC-6; CBS-3; NBC-10, 1
Comedy; NBC-10; CBS-3; CBS-3; NBC-10, 1
Comedy; CBS-3; NBC-10; ABC-6; ABC-6, 1
Comedy; NBC-6; ABC-6, 1
Comedy; CBS-3; NBC-10, 1
C-SPAN 2; C-SPAN, 1
Comedy; ABC-6; NBC 16, 1
Comedy; CBS-3, 1
Comedy; CBS-3; ABC-6, 1
Comedy; ABC-6; Fox-29; NBC-10, 1
Comedy; ABC-6; NBC-10, 1
Comedy; NBC-10; Fox 29, 1
Fox 29 (11), 1
Comedy; NBC-10; NEWS RADIO, 1
Comedy; CBS-3; NBC-10; Fox 29 (11), 1
Comedy; ABC-6, 1
Comedy; NBC-10; FOX 29, 1
FOX / C-SPAN, 1
NBC / MSNBC, 1
ABC / FOX, 1
ABC / FOX / CNN, 1
CNBC ch 47, 1
CNN; PBS 12, 1
CNBC; C-SPAN; (illegible), 1
NBC; MSNBC, 1
Channel 6, 1
FOX; CBS, 1
C-SPAN; PBS, 1
ABC/FOX, 1
PBS/CBS/ABC, 1
ABC/NBC, 1
PBS/FOX, 1
BBC: C-SPAN, 1
TECH TV: MS-NBC, 1
MSD/MS-NBC, 1
FOX / CNBC, 1
FOOD NETW, 1
HDBMO/CIP?, 1
MS-NBC/DEAN, 1
CNBC/MS-NBC, 1
C-SPAN?, 1
JOE, 1
CNBC/FOX, 1
C-SPAN , 1
C-SPAN  , 1
FOOD NETWORK;PBS, 1
CSPAN;NBC, 1
CSPAN;FOX, 1
CH75, 1
HISTORY CHANNEL, 1
FOX NBC, 1
Book TV, 1
CBS, BBC, 1
FOX, MSNBC, BBC, 1
BBC, CSPAN, MSNBC, 1
BBC C-SPAN, 1
CNN NBC, 1
C-SPAN; PBS; ABC, 1
CNN/CNBC, 1
Lifetime, 1
BBC; MSNBC, 1
BBC/C-SPAN/CBS, 1
C-SPAN2/BBC, 1
BBC/MSNBC, 1
MSNBC/CNN, 1
Fox/ABC, 1
COMP C-SP, 1
C-FNN / C-SPAN 2, 1
C:FNN / ABC, 1
BOOK / FOX / CNN, 1
PBS / MSNBC, 1
CNBC / CBC, 1
Comedy Central/ Fox / CNN / CSPAN-2, 1
C-SPAN / MSNBC / FOX, 1
BBC / C-SPAN / MSNBC, 1
CNBC / CBS, 1
MSNBC / CH 10, 1
FOX ; CSPAN ; CNN, 1
FOX ; 29, 1
Channel 2, 1
CBS PM, 1
60.0, 1
30,  60,  30, 1
33.0, 1
Ch 2, 1
BBC/ C-SPAN, 1
5/ ABC, 1
The BBC, 1
CV, 1
500.0, 1
20-20 Special, 1
65.0, 1
CNBC-31, 1
MS-NBC -65, 1
S-SPAN 2, 1
CBS 12(11), 1
NBC 10(8), 1
TECH TV-42, 1
TECH TV ?, 1
CNN 30, 1
ch39/23, 1
FOX 51, 1
CBS-13, 1
NBC-10 | Fox 11, 1
MS-NBC | CBS-3, 1
Fox-29 (11), 1
ABC-6 | CBS-3, 1
ABC-6 | Fox 29, 1
NBC, PBS, MSNBC (?), 1
FOX 29; NBC 9; FOX 51 (?), 1
CBS 3; ABC 6; ABC 6, 1
NBC 10; FOX 19; ABC 6, 1
CBS 3; FOX; NBC 10; ABC 6; ABC 6, 1
NBC 10; ABC, 1
NBC; NBC 10, 1
WB 5; NBC 10, 1
NBC 10; ABC 6; NBC 10; ABC 6, 1
COMP; CNN; C-SPAN, 1
PBS 12; CBS 3, 1
NBC 10; ABC 6; NBC 10;, 1
ABC 6; CBS 10, 1
PBS 12/CBS 3, 1
ABC 6; NBC 10; CBS 3, ABC 6, 1
CBS 3; CBS 3; NBC 10, 1
NBC 20,Fox 29, 1
NBC 10; NBC 10, 1
Comedy, CBS, NBC, 1
Comedy, ABC, NBC, 1
Comedy,, 1
Channel 12, 1
ABC-6, FOX 11, 1
CNBe, 1
0.6666666666666666, 1
PBS 12; ABC 6, 1
BBC; C-SPAN; MSNBC, 1
NBC 10; CBS 4; PBS 12, 1
PBS 12; CNN, 1
FOX 11; NBC 10, 1
Fox; NBC 10; PBS 12, 1
NEWS/PBS, 1
CNN, COMP, C-SPAN, 1
NEWS NIGHTIME, 1
COMP, C-SPAN, 1
TECH TV; BOOK TV, C-SPAN2, 1
TECH TV; C-SPAN 2; COMP, 1
77XM; COMP; C-SPAN; C-SPAN2, 1
NOVA; PBS; COMP, 1
CABC; COMP; C-SPAN, 1
CNN; CBS, COMP, 1
ABC; C-SPAN, 1
SCUP AM 2, 1
BOOK TV; C-SPAN; CSPAN 2,, 1
TECH TV, COMP; C-SPAN,, 1
TECH TV, COMP; C-SPAN, 1
TECH TV, MSNBC, COMP; C-SPAN, 1
NEWS PBS, 1
7.0, 1
BC-NBC, 1
FOX29; MSNBC, 1
NEWS, 1
FOX NEWS; NBC 10; PBS 12; ??; ??, 1
FOX 29; NBC; PBS 23, 1
???, 1
N/A; N/A; BBC, 1
(???); ABC, 1
NPR-12/NBR (?), 1
N/A; BBC, 1
N/A; BBC/ C-SP, 1
BBC; BBC, 1
BBC C-SP, 1
C-SP/CNN, 1
CNBC; CNBC; MKTS (?), 1
MS-NBC; CNN, 1
FOX; TECH TV, 1
NBC (10); TECH TV, 1
TECH TV; TLC, 1
ABC- ?;  NBC 10 (9), 1
MSNBC; TECH TV, 1
FOX NEWS; TECH TV, 1
CBS-3; ABC-11, 1
ABC-6; NBC-10 (9), 1
FOX; CC, 1
MS-NBC; TECH TV; PBS 12 (11), 1
MSNBC; BBC, 1
CBS Ch 39; FOX; CNN, 1
CNN; CBS 3-21, 1
CNN; CBS 3-21; CNN, 1
FOX; CNBC, 1
49-CNN, 1
NBC-10; CBS-3; NBC-10, 1
FOX, C-SPAN, BBC, 1
CNBC, OJ NEWS, 1
MTV ; CNN, 1
NBC-10 ; CBS ; ABC-6, 1
Fox ; Comedy Central, 1
PBS ; NBC-10, 1
CBS-10 ; NBC-10, 1
ABC-4 ; CBS-3, 1
CBS-3 ; ABC-1, 1
PBS ; ABC, 1
PBS-12 : ABC-6, 1
CSPAN2 ; CNN ; CNBC, 1
CSPAN ; Ch 49, 1
A&E-30 ; BBC, 1
CNN; OJ NEWS, 1
OJ NEWS; CSPAN, 1
CNBC / OJ NEWS, 1
CNBC / C-SPAN2, 1
CNBC / OJNEWS, 1
CNN; CSPAN2, 1
Comp; BBC; Fox, 1
Comp; C-SPAN; CNN, 1
COMEDY CENTRAL/NBC, 1
PBS-9, 1
CBS-3/NBC-10, 1
COMP/FOX, 1
CSPAN/MSNBC/WASH J, 1
COMP/BBC, 1
COMP-NICK AT NITE, CSPAN, MSNBC, 1
COMP-N@N, BBC, CSPAN, MSNBC, 1
COMP-BBC, MSNBC, 1
COMP-CSPAN, 1
BBC / C-SPAN, 1
CBS / ABC / PBS, 1
ABC / C-SPAN, 1
ABC / FOX / CBS, 1
CBS / MSNBC, 1
CBS / ABC / TECH TV, 1
CNN / FOX, 1
C-SPAN2 / CNN, 1
NBC / PBS / CBN (?), 1
CBS-3 / NBC-10 / PBS-12, 1
C-SPAN / CNN, 1
CBS-3 / NBC-10 / PBS 12 /, 1
PB-12, 1
PBS / CNN / C-SPAN, 1
CNN / ABC-6, 1
FOX / NBC / NBC, 1
CBS-3 / ABC-6 / PBS-12, 1
CNBC / CNN-FN, 1
NBC-10 / ABC-6 / NBC-10, 1
ABC-6 / NBC-10, 1
FOX / FOX 29, 1
CNBC / FOX, 1
MSNBC - ?, 1
FOX / BBC / C-SPAN, 1
COMP / CSP, 1
COMP / FOX SAT, 1
BUT || BUT, 1
COMP / BBC / CBS / PBS, 1
COMP / CSPAN / BBC, 1
FOX / BBC, 1
C-SPAB, 1
CSP 2 / MSNBC, 1
/ NBC10, 1
PBC, 1
CSP, 1
CH. 10, 1
C-SPAN; CBS 3, 1
CNN/misc. C-SPAN, 1
CHNL-23, 1
ABC-6; CNN, 1
PBS-12; NBR, 1
CBS-3; MSNBC; PB12, 1
CNN; CBS-3; PBS, 1
CBS-3; NBC-18, 1
NBC; Channel 7, 1
NBC 10; Fox 29, 1
CBS-3; NBC10; PB12, 1
CBS-3; NBC12; CBS3, 1
CBS-3; NBC1-, 1
ABC?, 1
NBC; CBS; ABC, 1
NBC 10; FOX 29, 1
CBS 3; NBC, 1
NBC 10; FOX 29; ABC 6, 1
CMM FH / COMP, 1
CMM, 1
CMM FH; COMP B, 1
CSPAN 2; CNBC, 1
CSPAN; CSPAN 2; CNBC, 1
CNBC; CSPAN, 1
CNBC; CSPAN 2, 1
PBS; CNN, 1
PBS 12; CSPAN, 1
C-FNN?, 1
C-FNN?; CH-5, 1
C-FMN, 1
CBX, 1
FOX 29/MSNBC, 1
DISCOVERY, 1
HISTORY, 1
MSNBC / CNN / FOX, 1
CSPAN2 / MSNBC, 1
CNN / CNBC, 1
CNN / ZDTV, 1
CNBC NEWS, 1
CNN fn, 1
PBS- 12, 1
C-SPAN/C-SPAN2, 1
C-CSPAN/CNN, 1
BKTV/Disc., 1
CNN?, 1
ABC-6; CBS-3; ABC-6; ABC-6; NBC-10; NBC-10, 1
PBS-12; FOX, 1
ABC Ch10, 1
NBC-10; NBC, 1
NBC-10, CBS-3, 1
NBC -10 | CBS - 3 |, 1
MSNBC 2, 1
MSNBC | CNBC, 1
CNN | C-SPAN, 1
CNN | FOX NEWS, 1
MS-NBC | C-NBC, 1
C-SPAN | MS-NBC, 1
CNN | <illegible> | MS-NBC, 1
NBC / CNN, 1
CNBC / C-SPAN, 1
CH 10 / Comedy Central, 1
CH59, 1
CBS-10 /  Comedy Channel 59, 1
C-SPAN /  CNN, 1
CH 10, 1
WLN, 1
CNN / ABC, 1
Nick, 1
Fox/COMP, 1
COMP-Fox, 1
Fox 29; NBC, 1
COmp, 1
C-SPAN; COMP-B, 1
25.0, 1
ABC-6 ; CSPAN2, 1
NBC-10 ; FOX-29 ; NBC-16, 1
ABC-6 ; CNBC, 1
CNN ; ABC ; NBC-10 ; CBS-3, 1
ABC-6 ; NBC-10 ; CBS, 1
ABC-6 ; FOX-11 ; NBC-10, 1
MSNBC ; FOX 29 ; NBC-10, 1
ABC-6 ; NBC-9 ; MSNBC, 1
Ch-10, 1
FOX ; NBC-6 ; PBS-12, 1
CNN; WGN, 1
Ch 6 ABC, 1
CNBC; CH. 8, 1
CNN; CBS/10, 1
CBS/10; PBS-12, 1
C-NBC; CSPAN, 1
RBS-12, 1
News; Nightline/Politically Incorrect; ABC-6, 1
News, 1
Comedy Central;, 1
CBS-3, PBI 12, ABC 6, 1
PBS 12, FOX 11, ABC 6, 1
NBC 10, FOX 29, CBS 3, 1
CBS- 3, PBS 12, 1
7AM; 3PM, 1
CBS 3, NBC 10, ABC 6, 1
ABC 6, C-SPAN, 1
PBS 12, CNBC, ABC 6, 1
CBS 3, NBC 10, 1
FOX, CSPAN 2, 1
CNN, NBC, 1
NBC 10, CNN, 1
Starr Rept All, 1
NBC 10, CBS, 1
NBC 10, CBS 3, 1
ABC 6, CBS 2, CBS 3, 1
FOX 29, NBC 10, ABC 6, 1
ABC 6, CBS 3, NBC 10, 1
ABC 6, FOX 29, 1
CH 11, CH 10, 1
PBS 12, CBS 3, 1
CBS 3, FOX 29, NBC 10, 1
NBC 10, ABC 6, 1
ABC 6, NBC 10, 1
CNET, 1
31.0, 1
CBS 3, PBS 12, 1
CBS 3; PBS 12, 1
CNBC, MSNBC, 1
CBS 3, PBS, CNN, 1
CSPAN, BBC, CBS, 1
CNN, FOX, 1
FOX, NBC 10, 1
NBC 10, FOX 11, PBS 12, 1
CBS 3, ABC 6, CNN-FN, 1
PBS 3, ABC 5, 1
CNN-HL, 1
NBC Ch 9, 1
PBS, FOOD NETWORK, 1
CSPAN, MSNBC, BBC, 1
CSPAN, FOX, 1
MSNBC COMP, 1
CSPAN, BBC, 1
CNBC 2, 1
CNN, CSPAN?, 1
CBS 3, ANC 6, PBS 12, 1
CNBC, MSNBC, CH 47, 1
FOX, CNBC, 1
FOX 29, FOX, 1
CNBC, CSPAN 2, 1
PBI-12, 1
COMP/MSNBC, 1
MSNBC; C-SPAN, 1
A+E, 1
NBC-10; CBS-3; ABC-6, 1
NBC-10; CBS-3, 1
Fox-29; ABC-6, 1
Fox-29; NBC-10, 1
MSNBC; PBS-12;, 1
MSNBC; CSpan2, 1
MSNBC (Sat), 1
NBC-10; ABC-6; CBS-7; Fox-29, 1
CBS-3; ABC-6; PBS-12; NBC-10, 1
CSPAN2; CNBC, 1
NBC; CBS, 1
NBC; FOX, 1
COMP; CNBC; MSNBC, 1
Comp-Apple; CNBC, 1
COMP; CSPAN; MSNBC; CNN, 1
CSPAN; CSPAN2; CNN, 1
STARR; MTV, 1
CNN; CSPAN, 1
COMP; CSPAN; TLC, 1
FOX; COMP; MSNBC; TLC, 1
MSNBC; PBS, 1
N-NBC, 1
Fox; NBC-6, 1
PBS-12; C-NBC, 1
CU, 1
Fox-29; PBS-12, 1
CNN-FN; C-SPAN 2, 1
CNBC 12, 1
NBC-10; CBS-3; NBC-6, 1
CNN-FN; MSNBC; C-SPAN 2, 1
CNBC; CBS-3, 1
C-SPAN 2; MSNBC, 1
CBC-3; NBC-10, 1
CBS-3; NBC-10; Fox 29, 1
NBC-10; FOX, 1
ABC; NBC-10, 1
NBC-10; CBS-3; PBS-12, 1
CBS; PBS-12, 1
NBC-6; CBS; NBC-10; Fox 29, 1
CBS-3; NBC-10; ABC-6, 1
NBC-10; NBC-10, 1
Fox-29 ; NBC-10 ; PBS-12, 1
MSNBC ; FOX-29 ; NBC-10 ; TechTV, 1
CBS-3 ; CSPAN ; ABC-6, 1
CNBC ; ABC-6 ; NBC-10, 1
MSNBC ; CSPAN2 ; BookTV, 1
MSNBC ; FOX-29 ; NBC-9 ; PBS-11, 1
MSNBC ; FOX ; ABC, 1
MSNBC ; FOX-29 ; ABC-10 ; PBS-12, 1
HLN ; CNBC, 1
NBC-10 ; CBS-10 ; ABC-6, 1
CBS-3 ; ABC-6 ; FOX-29, 1
CSPAN ; MSNBC ; CSPAN2, 1
CNBC ; CH-12, 1
CBS-3 ; ABC-6 : NBC-10 ; CBS-3, 1
PBS-12 ; CNN ; CSPAN, 1
34.0, 1
MSNBC ; FOX ; NBC ; PBS, 1
MSNBC ; FOX-29, 1
CNN ; FOX ; BBC, 1
MSNBC ; FOX ; ABC-10 ; PBS-12, 1
FOX ; PBS-12, 1
CBS-3 : ABC-6, 1
NBC-10 ; FOX-11, 1
CH5 ; CH10, 1
ABC-10 ; FOX, 1
FOX ; NBC, 1
NBC-10 ; CBS-3 ; NBC, 1
NBC-10 ; CBS-2 ; PBS-12, 1
CNBC-23, 1
CNN ; C-SPAN, 1
ABC-10, 1
CH-6 ; NBC, 1
CBS ; NBC ; CH-3, 1
FOX ; CNN ; MSNBC, 1
NBC ; CH-12 ; ABC-6, 1
NEWS; CNN; OPRAH; FRONTLINE, 1
NEWS; NBC, 1
Sunday CNN, 1
PBS DOC, 1
NEWS, FNN, 1
MSNBC/CNBC, 1
FOX/NBC, 1
CNBC/CNN, 1
NBC ?, 1
NBC 3 ?, 1
C-SPAN / FOX, 1
FOX 28, 1
MSNBC/ FOX, 1
?  ?, 1
FOX 29 NEWS, 1
FOX TV, 1
CNBC / NBC, 1
CNN/COMP, 1
CH-95, 1
CSPAN ; CNNFN ; CNBC, 1
Fox-29 ; ABC-6 ; CBS-10, 1
ABC-6 ; MTV-24 ; CBS-10, 1
Fox-29 ; NBC-3 ; ABC-6, 1
A&E-30 ; ABC-6 ; CBS-10, 1
A&E-30 ; NBC-3, 1
CBS-10 ; ABC-6 ; FOX-29 ; CBS-10, 1
TLC ; CNBC, 1
FOX ; NBC-10 ; CBS-12, 1
FOX ; NBC-10 ; PBS-12 ; MSNBC, 1
CNN ; CBS ; FOX, 1
NBC-10 ; FOX, 1
76.0, 1
(SAT), 1
CNBC (?), 1
COMP / FOX, 1
BBC/C-SPAN, 1
CBST, 1
KNBC 23, 1
ABC 6 (5), 1
TNN, 1
CSPAN ; PBS-12 ; ABC, 1
MSNBC ; NBC-10 ; FOX, 1
CSPAN ; CNBC ; CNNFN ; CNN, 1
ABC-6 ; FOX, 1
WPHL, 1
NBC-9, 1
Comedy Central ; FOX, 1
ABC ; FOX ; CNN, 1
MSNBC ; FOX-29 ; NBC-10 ; CH-39, 1
CNNLN, 1
MSNBC ; FOX ; NBC-10, 1
NBC-10 ; Comedy Central, 1
FOX ; CBS-3, 1
Comedy Central ; NBC-10, 1
ABC-6 ; CBS-3 ; FOX-29, 1
ABC-6 ; FOX ; CBS-3, 1
NBC-3 ; CBS-10 ; A&E-30 ; FOX, 1
FOX-29 ; PBS ; ABC-6, 1
NBC-3 ; A&E 30, 1
CBS-10 ; FOX-29, 1
ABC-5 ; CBS-10 ; PBS-12, 1
ABC-6 ; NBC-10 ; CBS-3 ; NBC-10, 1
PBS-6 ; NBC-10, 1
CH-44 ; CH-2, 1
CH-2 ; CH-44 ; CH-7 ; ABC, 1
NBC ., 1
CH-2 ; CH-5 ; CBS ; ABC, 1
Ch-5 ; ABC, 1
CH-2 ; CH-5 ; ABC, 1
ABC-5 ; FOX, 1
ABC-5 ; NBC-4 ; CBS-3 ; FOX-25, 1
FOX ; CBS-7 ; NBC-4, 1
NBC-4 ; ABC-5 ; FOX-25, 1
ABC-6 ; ABC-5, 1
FOX-25 ; ABC, 1
CBS-7 ; FOX-25 ; ABC-7 ; CBS-7, 1
FOX ; CBS-7, 1
NBC-4 ; CBS-7 ; ABC-5 ; FOX-25, 1
ABC-6 ; CSPAN, 1
CBS ; CH-6 ; ABC, 1
ABC ; CH-7 ; CH-5, 1
CH5 ; ABC, 1
CH-2 ; HBO, 1
CSPAN ; MSNBC ; CNBC, 1
ABC-6 ; FOX-29 ; CBS-3, 1
CNN ; PBS ; MSNBC, 1
CH 7, 1
NBC-4 ; PBS-11, 1
CBS-7 ; FOX-25 ; CBS-4, 1
FOX-25 ; CBS-4, 1
WB, 1
FOX-25 ; CH-38, 1
CH-44 ; CBS, 1
CH-5 ; CBS ; CSPAN, 1
CBS ; CH-9, 1
CBS ; FX, 1
CBS ; CH-44, 1
Ch-5, 1
NBC-7 ; CBS-4 ; CNN, 1
PBS-2 ; CSPAN2, 1
CH-7 ; HBO, 1
CH-7 ; CH-4, 1
CH-2 ; ABC, 1
ABC ; NBC-7 ; FOX-25, 1
FOX ; CNNFN, 1
CNBC ; FOX ; NBC-9 ; PBS-11, 1
MSNBC ; FOX-29 ; ABC-9 ; PBS-11, 1
NBC-4 : ABC-5, 1
NBC-4 ; CBS-7 : PBS-2 ; ABC-5, 1
NBC-4 ; ABC-5 ; CBS-7, 1
CBS-10 ; NBC-4, 1
HBO ; CH-2, 1
HBO ; CH-4, 1
CSPAN ; FOX ; NBC-10, 1
CSPAN2 ; FOX ; NBC-10, 1
CSPAN2 ; FOX-29, 1
ABC ; NBC-4 ; FNN, 1
CH-4 ; NBC ; CNN, 1
NBC-4 ; CBS-7 ; ABC ; CNN, 1
CNN ; CSPAN ; CBS, 1
PBS-12 ; HBO2, 1
CPSAN ; CNN, 1
CSPAN ; ABC ; CNN, 1
CNBC ; CSPAN ; Nickelodeon, 1
CH-35 ; CSPAN, 1
CNBC ; Nickelodeon, 1
CBS-3 ; ABC, 1
FOX ; Food Network, 1
MSNBC ; FOX ; BBC, 1
BBC ; FOX ; CSPAN, 1
PBS-12 ; BBC ; Nickelodeon, 1
CH-31 ; CNBC, 1
CBS-7 ; ABC-5 ; PBS-44, 1
NBC-4 ; ABC-5 ; CBS, 1
Fox-25 ; NBC-4 ; ABC-5, 1
PBS-2 ; CBS-7 ; NBC-4 ; ABC-5, 1
CBS-7 ; NBC-4 ; PBS-2, 1
CSPAN ; PBS-12 ; CBS, 1
Nickelodeon ; FOX, 1
NBC-4 ; ABC-6, 1
PBS-2 ; ABC-5 ; NBC-4, 1
PBS-2 ; ABC-4, 1
PBS-12 ; FOX-10 ; NBC-8, 1
CNNFN ; CPSAN2 ; CNBC, 1
CBS-3 ; NBC-10 ; PBS-12 ; CNBC, 1
NBC-10 ; CBS-7, 1
FOX-29 ; ABC-6 ; CBS-3, 1
CSPAN ; PBS-12 ; CNN, 1
WABX-44 ; CH-2, 1
ABC ; CH-5 ; CBS, 1
ABC ; CH-44, 1
PBS ; CH-44 ; CH-21, 1
CH-44 ; PBS, 1
NBC-3 ; ABC-6 ; FOX-11, 1
CFNN ; CH-3, 1
CBS-3 ; NBC-10 ; CNN, 1
CH-2 ; PBS, 1
CSPAN ; CNBC-23, 1
CBS ; NBC ; PBS-12, 1
NBC-10 ; CBS-4, 1
CNBC-4, 1
ABC-6 ; CNN-24, 1
CBS-3 ; PBS-10 ; ABC-6, 1
NBC-10 ; FOX-29 ; CBS-3, 1
CBS-3 ; CNNFN, 1
CH-31, 1
FOX ; ABC-6 ; PBS-12, 1
CBS-4 ; PBS, 1
CH-5 ; FOX ; CBS, 1
CH-5 ; NBC, 1
ABC-6 ; PBS-12 ; CFNN, 1
ABC-6 ; CBS-10 ; PBS-12 ; NBC-3, 1
CBS ; CH-13 ; ABC, 1
TLC-32 ; PBS-12, 1
ABC-6 ; FOX-29 ; CBS-10, 1
FOX-29 ; Discovery-32 ; NBC-3 ; PBS-12, 1
CBS-10 ; PBS-12 ; NBC-3, 1
CNN , 1
CSPAN2 ; ABC-6, 1
ABC ; CBS-10, 1
FNN ; CH-9, 1
FNN ; CH-3, 1
FOX ; ABC-5, 1
ABC ; CNN ; ESPN, 1
ESPN ; CNN, 1
FNN ; NBC-3 ; CH-6, 1
FNN ; CBS-10, 1
A&E-30 ; ABC-6 ; NBC-3, 1
ABC-6 ; CBS-10 ; NBC, 1
ABC-6 ; TLC-32, 1
PBS-12 ; NBC-3 ; A&E-30 ; ABC-6, 1
FOX-11 ; NBC_3, 1
CBS-10 ; ABC-6 ; FOX-29 ; PBS-12, 1
PBS-12 ; NBC-3 ; CBS-10 ; ABC-6, 1
PBS-12 ; ABC-6 ; A&E-30, 1
Fox-29 ; CBS-10 ; NBC-3, 1
A&E-33 ; ABC-6 ; CBS-10, 1
CBS-10 ; ABC-6 ; FOX-29, 1
CH-6 ; CBS-10, 1
NBC-3 ; ABC-6 ; A&E-30 ; PBS-12, 1
ABC-6 ; A&E-30, 1
CH-10 ; CBS ; ABC-6, 1
CBS-10 ; PBS-12 ; ABC, 1
NBC-3 ; ABC-5 ; CNN ; PBS-12, 1
CFNN ; ABC-5 ; PBS-12 ; CNN, 1
NBC ; ABC-5 ; PBS-12, 1
NBC-10 ; ABC, 1
ABC-6 ; CH-10 ; CBS, 1
FOX-29 ; NBC-10 ; ABC-6, 1
FOX-11 ; CBS-3 ; NBC-10, 1
CBS-3 ; NBC-10 ; PBS-12 ; CNN, 1
CSPAN ; CNN ; CSPAN2, 1
CSPAN-2 ; PBS-12, 1
NBC-10 ; CBS-3 ; NBC-10, 1
CSPAN ; Ch-62, 1
CBS-3 ; ABC-6 ; FOX ; MSNBC, 1
ABC-6 ; PBS, 1
Ch 36, 1
CSPAN2 / CNBC, 1
NBC / PBS, 1
FNN / CNN, 1
FNN / CNN / PBS, 1
CNN-FNN, 1
C-SPAN2; ABC-6, 1
CNBC; PBS-12, 1
C-SPAN2; NBC, 1
MSNBC; PBS-12, 1
CBS-3; ABC-6, 1
CNN-FN; MSNBC; C-SPAN2, 1
CNN-FN; C-SPAN2, 1
ABC-6 ; PBS-12 ; FOX-11 ; CNN-8, 1
ABC / PBS / FOX, 1
CNN? CSPAN?, 1
C/FNN, 1
NBC / FNN, 1
NBC / CNBC / FNN, 1
FNN / PBS, 1
ABC / CNBC / FNN, 1
CSPAN / MSNBC, 1
NBC / CNBC, 1
COMP; MSNBC; C-SPAN, 1
FOX ; NBC-10 ; PBS, 1
BBC ; MSNBC ; CNN ; CSPAN, 1
MSNBC ; CH-39, 1
MSNBC ; FOX-29 ; NBC-10 ; PBC-11, 1
COMP; FOX NEWS, 1
COMP; C-SPAN 2, 1
COMP; TECH-TV, 1
PBS-12; C-SPAN2; ABC??, 1
CBS-3/2, 1
MSNBC ; CBS, 1
WLTV ; PBS, 1
ABC-6 ; CH-10 ; CH-3, 1
CBS-4 ; PBS-44, 1
CH-4 ; CH-5 ; ABC, 1
NBC-4 ; CH-7 ; CBS ; CH-5 ; ABC, 1
CBS ; CSPAN ; ABC, 1
CH-7 ; CBS ; ABC-5, 1
CBS-10 ; ABC-6 ; A&E-30, 1
NBC-3 ; ABC-6 ; FOX-29, 1
FOX-29 ; CBS-10 : ABC-6, 1
ABC-6 ; FOX-29 ; NBC-3, 1
FOX-29 ; ABC-6 ; NBC-3, 1
PBS-12 ; FOX-29 ; NBC-3 ; ABC-6, 1
CH-40, 1
PBS-12 ; CBS-10 ; NBC-3, 1
CH-39 ; ABC-6, 1
ABC-6 ; HBO-2, 1
CBS-10 ; NBC-3 ; ABC-6 ; CH-7, 1
FOX-29 ; ABC-5 ; CBS-10, 1
ABC ; CH-2 ; CH-5 ; NBC, 1
CBS ., 1
ABC ; CBS ; NBC ; CH-5, 1
CFNN ; CH-10, 1
CH-5 ; ABC ; NBC-4 ; CBS, 1
NBC ; CBS-4, 1
NBC ; CNBC, 1
FOX ; PBS-2, 1
PBS-2 ; CNBC ; NBC, 1
CNN ; PBS-2 ; PBS-11, 1
CBS-4 ; CNBC, 1
E ; NBC ; ABC-5, 1
CSPAN2 ; BET, 1
CBS-10 ; ABC-6 ; FNN, 1
CNN ; NBC-3, 1
CBS-10 ; PBS-2, 1
MDLM ; CNN ; CSPAN2, 1
CSPAN ; MSNBC ; CNN, 1
FOX-29 ; NBC-10 ; PBS-12 ; MSNBC, 1
CNBC ; CNNFN, 1
FOX-29 ; NBC-9 ; PBS-12, 1
FOX-29 ; PBS, 1
FOX ; NBC-9, 1
