Description - Program titles - any/all other information written out on tape label, N
Agatha max 1:55; heavens above peter seleri, 1
Eunice carol burnett 8min missing 1 1/2; the 4th of july & other disasters jew shepard 1hr; ebony fashion; wkrp, 1
25 years of sports illustrated 1hr; the rollicking adventures of eliza fraser ?, 1
Revenge of the stepford wives ch 4 b3 2:00; saturn 3 b3 1:35, 1
Barefoot in the park; macn-L tuition tax credits, 1
Little gloria-happy at last pt I (vanderbilt) 2:00; part II 2:00, 1
The moon is blue; deception tape; night at harvard; see thr; news; sep news pt 1+ pt 3, 1
There's a girl in my soup peter sellers (1990) 1:45; simon alan arkin 2hrs; all in the family 1/2hr, 1
Abc news jones town b3 1/2; erlent express b3 2 1/2, 1
Dr zhivago b3 3:20; hbo doc moulin rouge pt 2, 1
Incredible shrinking woman 1:25; gulliver's travels (1931) + animated shorts 90m; popeye 1:56, 1
Brave new world b2 3 hr, 1
The day the bubble burst ch4, 1
Cabaret 2:30m; inn news, 1
Wizard of oz- 2 early versions; cbs library short stories of henry bradbury 60m; v-tape editing; cheers, 1
Confessions of a nazi spy (1939) 2 hrs; the conspirators henreen (1044) 2 hrs, 1
Improper channels 1:32; atlantis: the lost continent 2 hrs; star trek paradis synop. 1hr; sat nite, 1
Splendor in the grass ch4 2hrs; goodbye girl 2 hrs 15 mins b-3, 1
Young frankenstein mel brooks b3 1:38; sat nite live b-3; yale club; bill murray host 80m, 1
Nine to five b3 1:50; big blonde; jack london; sneak preview, 1
Am. theater; elephant man 2hrs; becket 2:31; meet david attengoro, 1
overnite (sat/sun ), 1
comp  , 1
stawpoff at ch. of nativity *, 1
sat/sun, 1
comp; (sat/sun); over nite, 1
comp , 1
General hospital        ?, 1
Stones for ibarra 2hr; --> ff, 1
General hospital; general hospital; dynasty; general hospital; dynasty 5 min, 1
General hospital; general hospital; dynasty, 1
General hospital; general hospital; dynasty; general hospital; dynasty , 1
Drama; woza albert; home town, 1
Drama; the corn is green; ....& the boys 1/2; amazing stories cid ceaser..., 1
General hospital; dynasty; general hospital; dynasty, 1
American play...return...highway to heaven.....highway to heaven, 1
Poor little rich girl pt I 2hr; pt II 2hr, 1
Mystery <-- BU, 1
Diner 2 1/2 hr; the lonley lady; gen hospital, 1
1986 unnatural causes (agent orange) 2; donahue twins..., 1
Hot paint; general hospital, 1
Beauty and the beast, 1
Princess- gilbert & sull...1 DA; year in the life; st. else-where, 1
...new.......20-20; general hospital, 1
Degrassi jr high, 1
General hospital; phil donahue, 1
General hospital; donahue...oprah xmas..., 1
General hospital; phil donahue gary hart; new, 1
The bretti, 1
General hospital; after school..., 1
Degrassi jr high; (la plaza), 1
Heimat, 1
American playhouse lemon sky; anne of...dizzy gillbidi 70th birthday, 1
General hospital; oprah, 1
Noble house III; IV (...), 1
General hospital; phil I-hiten; oprah, 1
Masterpiece the......fact of life; 227; golden girls..., 1
General hospital; phil gay/ lesbian, 1
General hospital; donahue sex after..., 1
The stepfa...children; ?, 1
Docu; To 28 up; last right; nick line, 1
General hospital; new...lehrer; 3/4, 1
General hospital; donahue, 1
Noble house; PT I; PT I, 1
Amer playhouse; general hospital, 1
Irvine berlin....lermer 9; bu, 1
Strange interlove; PT I 90m; PT II 90 m; PT II, 1
Beiderbecks affair; PT 2 (start); ch 4 3-3:30; gene...30 m; abc..., 1
over nite/ wash...7:15am, 1
Comp; PT 2, 1
Comp; 3pm, 1
comp; 8pm/11pm, 1
comp; 8pm/8:30pm; 11:30pm, 1
2.0, 1
Comedy central- daily show john stewart, 1
(fri) (sat) over nite, 1
comp; (fri/sat) over nite, 1
comp; andrea yates trial, 1
comp; 16-20 (fri/sat) over nite, 1
rabbi michael lerner, 1
2008 elect. fed treas> testimony (tues), 1
2008 campn jon cleese (fri), 1
2008 campn c-span 11pm (mon), 1
2008 elect. mon, 1
2008 capn; banking crisis (mon), 1
2008 campn; 10am, 1
2008 campn; snl (sat), 1
cho-mam..., 1
Morning joe (cnn youtube debate), 1
book tv harlem book fair (sat), 1
2008 campn; obama wins election, 1
? ? obama*, 1
2008 election (wed), 1
election day, 1
2008 campn (fox news sun.) 11pm (sun), 1
2008 election; dow down biggest 2-day drop since 1987, 1
2008 elect; ann. recess since 1 yr ago (tues), 1
Donahue; aun randy; b-3, 1
Ginna macn. lehrer; nuke; state of union news e4; reagan ch4; deno view; other view; ch 4; news, 1
Inside story; carter; donahue anorexia; inside story; b3 0:30/0:30/ b3 1:00/ b3 0:30, 1
Ben wattenberg; b2 15m; disraeli PT 4 b3 1 hr; monty P blackmail fighter, 1
Fight against slavery b3 1:00; back up 33 1:00; america pt 1 alistair cooke, 1
Monty python; 6; ...this old house b3; this old house, 1
Kent state b3 3:00; reagan assassination attempt b3 1:00; nbc, 1
Phil donahue vietnam veteran b3; regan assassination attempt- b3 2:00, 1
That's my line musical...blind dog b3...20-20...., 1
Phil donahue adam smith b3; computers & privacy 1:00; menels on media 0:30, 1
Donahue; barbara tim b-3; income tax, 1
Charles kuralt; david brinkley 1:00; 10pm new rem...30; law...30; firing link....1:00, 1
1950s, 1
Wall st. week; nite-line; am news 20m, 1
Sunday morning; firing line. jesse jackson pt 1, 1
Thinking twice about nucc. war abc news; drug rehab; sun news; argovt-brit; in search of..., 1
Nightly business report s; b-3; fri..govt...news, 1
Paradox on 72nd street 1hr; mcn day call...animation 55m cont. see also news, 1
New this old house; newton's apple; chronicle consercation; this old house; cbs news, 1
The citidal pt III; pt IV; pt V, 1
The wave; on working; enter japan east... PR us airliners 0:30; jeans 0:30; japan us comp; all things...don't get sick, 1
Wash. week in review 0:30; wall st. week 0:30; america's top 10 christmas 1hr; odyssey india, 1
Documentaries- studs/turkel pt 2; tony brown reagan; donahue new right brit. reagan; face the nation baker; meet the press; go min; misc, 1
Night of 100 stars ch 5 b3 3 hrs; news, 1
Macneil-lehrer report; c. am...wash. wk; wall st wk; ch. cups, 1
Inside story hodding-carter censorship... 1 hr; ...lehrer 30; meet the press b-2; news ch 4, 1
Time was the twenties part 1; the thirties part 2; 3 0f 6 parts, 1
Documentaries 60 min. wash..., 1
News; mcn.-l; wwk in rev; wall st wk; ....planet pt 2; 60 min santa monica, 1
Inside story/media b-3; poland ch 2; millen's court; crime; child +tv show off, 1
Documentaries + intv...paradox on 72nd st; great...japan us trade; donahue us el salvador; face the nation; face the nation 0:30, 1
1982 Documentaries; donahue corporate culture :60; u.s. chronicle seattle...nature condor pt II; nightline brit. spv scandal nsa; the last word premiere, 1
Pleasure hunt b3; tv guide 1981 the year in tv ch 4 2:00; donahue video games 1hr; what on earth hbo; reagan budg. a black view, 1
Great decision west europe #44 b2 0:30; I remember harlem part 4; great decisions...30m; donahue 1 hr censorship in sch. good times michael atheist, 1
White paper black & white wed ch 4 b3 1:30; promise to keep (children) ch 2 b3 1:00; mcm lehr. at&t; confessions of a dangerous man, 1
Over easy b3 0:30; 20/20 patty hurst ch 5 b3 1:00, 1
Face the nation ...not in...odyssey..., 1
Review of :lpbp" left poland be poland u.s. prop. film 90m, 1
Blacks dem. panth 30m; what's left of the left 60m; dionne/quintuplets 90m; soundstage basic fit 2g. etc. trib. to d.ellington 90m, 1
News; aftermath of state of union; reagan and rather (converse) 60m, 1
Since j.f.k. part III ch 7 8-11pm 3:00, 1
Since j.f.k. part II ch 7 3:00, 1
Inside story-1982; yellow rain; creation science on trial ch 2; donahue heston/ sav on bulow verdict; cbs news b-3, 1
News; nova...east...firing line j.jackson pt2, 1
Documentaries working terkel 1 1/2; u.s. report; sahara war; middletown ch 2 b3; impris. 1:30, 1
Bill moyer journalism military spending b2 1:00; bill moyer journal b2 1:00, 1
....wash week in review; wall street week...night line..., 1
Saudi Arabia part 1; part III, 1
Media probes; inside story; in search of time tr., 1
Lois gibbs and the love canal 2hrs; childrens story :30; power play b3, 1
Dub; save for ireland part 1; ...chase add 10m; ireland part 2; meet the press begin, 1
Media probes: photog ch 2 0:30; mark russell 4-21-82 ch 2 0:30; macn-c economy; cpuet m.palin pt 1; inside story, 1
intv documentaries + specials b-3; meet the press... 60 min... viewpoint...15+ yrs; wwr wall st wk; julian snyder; msk n-l right w. leader..., 1
Wash week in rev. wall st wk; new deal spirit films of fdr era 2 hrs...it's everybody's business..., 1
Great decisions 82 b-3; security; greatest scandals of the century hbo 1 hr; dupont-columbia journalism awards; news, 1
Documentaries nuclear tests; voting punk...rights; 20/20 west bank..., 1
 (sat), 1
cnn ?, 1
(sat/sun/ over nite), 1
(Fri /Sat) Overnite, 1
COMP; (Sun) North Korea Nuclear Test, 1
COMP; BBC [illegible] 7:45 AM, 1
COMP; Daily Show 11:15PM, 1
COMP; [illegible] Daily Show 5AM, 1
COMP; [illegible] Daily Show BBC 7AM, 1
COMP; 2:20PM, 1
COMP; [illegible] *, 1
COMP; * [illegible] SPEC - Middle Class, 1
COMP; BBC C-SPAN 11:30AM, 1
COMP; (Sun), 1
COMP; Daily Show 7AM, 1
COMP; [illegible], 1
COMP; SCI-FI [illegible] Countdown To, 1
COMP; [illegible] End of World [illegible] | BBC [illegible] 7AM, 1
COMP; [illegible]; [illegible], 1
COMP; [illegible]/Speaker 5AM, 1
COMP; 12:15AM, 1
COMP; [illegible]*, 1
COMP; [illegible] 7AM, 1
COMP; 11PM, 1
COMP; BBC (Sun) 7AM, 1
COMP; BBC C-SPAN *Spec MSNBC [illegible] 10:30AM, 1
COMP; House Binding Vote on War Funding 2:30PM, 1
COMP; BBC | Daily Show 11:15[illegible], 1
COMP; BBC C-SPAN [illegible] Most 1PM, 1
Science Doll | The Mature of [illegible] | [illegible] |? ?| [illegible], 1
1984 Whiz Kids TV Rating's Bit | NOVA Parapsychology | [illegible], 1
Science Documentaries | NOVA | NOVA [illegible] | [illegible], 1
NOVA [illegible] | American Playhouse [illegible] 1:30 | [illegible], 1
Nuclear Nightmare 33 [illegible] | [illegible] 33 [illegible], 1
Shock of the New B-3 | [illegible] | Rommel HBO 1:00, 1
NOVA B-3 | Finding A [illegible] | The Television Explosion, 1
In Search of Strange True Stories | [illegible] | [illegible] | Man who Saw Tomorrow [illegible], 1
Science Documentaries | NOVA [illegible] | Primal Mind | Will Our Children Thanks Us [illegible], 1
Science Documentaries | [illegible] World | Innocation, 1
Nature | ? | NBC PM News, 1
Science Documentaries | [illegible] World of Spiders | [illegible] | African Elements | 10PM News, 1
Sci Doc | Computer [illegible] | Whiz Kids Spy | [illegible] | Living Wild [illegible], 1
Cosmos | IV | V | VI | VII | VIII, 1
Star Trek Spock's Mother B2 2HR | Free to Choose Pt III B2 2HR, 1
NOVA [illegible] | [illegible] | Bill Moyer World Fair | [illegible] in Space, 1
Cosmos | Part B3 1HR | Part B3 1HR | Part B3 1HR, 1
Media Science - Doc | NOVA- Tracking the [illegible] B3 60 | NOVA - Television Explosion B3 60 | CBS Reports Pr.Time TV 60 | NOVA [illegible] B3, 1
Cosmos-I B3 1HR | -II B3 1HR | III B3 1HR, 1
Doc. - Arts & Hum. | Magic of Dance Pt 3 | Music of Man | Nature [illegible], 1
Fast Forward CH2 B3 | 0:30 | NOVA [illegible] | [illegible] B3 0:30, 1
Fast B3 0:30 | 0:30 | [illegible] Pt I 1:00 Pt II 1:00 | 20/20 Vietnam Vets Video Games Texas Rich B3 0:45 | MASH [illegible], 1
Natural History of [illegible] | Missing Not Return | Austin City Lights Rock Band, 1
Science Nature Documentaries | [illegible] | [illegible] | Magic of Oil Painting | Great Chefs of [illegible], 1
Computer Chronicles | Search for the Gods | Mama Malone, 1
Mr. Merlin | Mr.Merlin 1 HR | Mr.Merlin | [illegible] | [illegible] | Merlin, 1
Star Trek + Sci Fi | The Tulimate Computer B3 M5 | Eacaper from [illegible] | Romans, 1
Rock and Roll 1:00 | [illegible] News 0:30 | All Creatures Great and Small | [illegible], 1
Understanding Human Behavior B-3 | Hearing/Sight CH2 | esp | Motivation [illegible], 1
Life on Earth B-3 | [illegible] dub in from vhs | Tues | [illegible] B3 1:00, 1
Understanding Human Behavior B-3 | [illegible], 1
Science Documentaries | Living Wild | Whiz Kids, 1
Benson 5 0:30 | [illegible] CH5 0:30 | The One and Only Herny Winkler CH5 B3 2:00 | [illegible] Pt I CH2 B3, 1
Music of Man 60 | Gotta Make This Hourney 60 | Facts of Life | Night Court 30, 1
Life on Earth | Pt 1 | Pt 2 | Pt 3 | Pt 4, 1
Fast Forward Computer World B3 | [illegible] 8:30 | [illegible] | NOVA [illegible] | WW World of Animanls | Bits, 1
Science Documentaries | NOVA Time | Nature, 1
All Creatures Great and Small CH2 60 | [illegible] 10 | All Creatures Great and Small [illegible] | [illegible] | Media Probes 30, 1
Whiz Kids 60 | Benson 30 | [illegible] 30 | PM News [illegible] 15 | [illegible] | This New [illegible] House, 1
B3 NOVA Hawaii CH2 60 | [illegible] | NOVA Cape Cod CH2 60, 1
Bits - Science B-3 | Birth & Death of A Star 30m | [illegible] 20min | Odessy Incas 1HR, 1
B3 All Creatures Great and Small, 1
Nature | The Tale of Beatrix Potter | Pt I | Pt II, 1
Sun 4AM Six Great Ideas - [illegible] B.Moyers | [illegible] #1 Beauty | #2 | #3, 1
Understanding Human Behavior CH2 | Human Psychol. Part 1 Part 2 | Part 3 Part 4, 1
Whiz Kids, 1
Understanding Human Behavior | Mr.Merlin | Part 1 | Part 2, 1
Life on Earth B-3 | 1/2 HR missing 1HR, 1
Understanding Human Behavior | CH2 | [illegible], 1
NOVA | Palace of [illegible] 1HR | Animal Pretended, 1
Human Behavior | Good Day Parents & Child [illegible] | NOVA [illegible] | [illegible] | Asian [illegible] Women | Adult [illegible], 1
Shock of the New | #2? 3? | #4?, 1
Creativity with Bill Moyers | [illegible] 1HR | [illegible] | [illegible], 1
NOVA These Fragile Mountains B3 0:60 | Mind Machine March 1978 0:60 | Nature [illegible] 0:60, 1
Documentaries - [illegible] | NOVA [illegible] | [illegible] | Nature, 1
Music of Man IV | Nature | Magic of Dance Pt 3, 1
Documentary - Science | B3 NOVA Fireman 60 | [illegible] | Richiard [illegible] Own Show, 1
[illegible] 10,000 11PM, 1
Sunday CBS 3 [illegible] | Sunday [illegible] 10PM, 1
8:20PM [illegible], 1
| 11:30AM, 1
Comedy | Cosby Show | A Different World | Cheers | [illegible] |[illegible] Stranger | Full [illegible], 1
Comedy | Cosby | Different World | Cheers | [illegible] | Celebrating [illegible] 90, 1
Comedy | [illegible] | 227 | [illegible] | Amen | [illegible] | [illegible], 1
comedy | [illegible] | Women in Prison | [illegible] | [illegible] | [illegible] | [illegible], 1
Comedy | [illegible] | [illegible] | Out of the World | Small Wonder | [illegible] | [illegible], 1
Comedy: The [illegible] | Trying Times, 1
Comedy | Family Ties | My Two Dads | [illegible] | FF, 1
CH7 | CH4 [illegible] | [illegible], 1
Comedy | [illegible] | Head of the [illegible] | [illegible] | [illegible] | [illegible] | [illegible], 1
Comedy CH4, 1
Comedy | [illegible] | Women in Prison | 1-2-3 Car, 1
Comedy | [illegible] | Head of the [illegible] | [illegible] | [illegible] | [illegible] | Day by Day, 1
Comedy | Cosby Show | Different World | [illegible] | [illegible], 1
Comedy | Cosby | Different World | [illegible] | [illegible] | [illegible] | [illegible] | [illegible] | [illegible] Women, 1
Comedy | Mr Pres | [illegible], 1
Comedy | Cosby Show | Different World | [illegible] | [illegible] | [illegible] | [illegible], 1
Comedy | [illegible] | [illegible], 1
Comedy | [illegible] | Married... | [illegible] | [illegible], 1
Comedy | [illegible] | 227 | [illegible] | Amen | Family [illegible] | My Two Dads, 1
Comedy | [illegible] | 227 | Golden Girls | Amen, 1
Poor Little [illegible] Pt I II [illegible] | Comedy | Cosby Show | [illegihle] | [illegible], 1
Comedy | [illegible] | Head | [illegible] | [illegible] | [illegible], 1
Comedy 500 | [illegible] | Women in Prison | [illegible] | Mr.President | [illegible] | [illegible], 1
Comedy | [illegible] | [illegible] | [illegible] | 227 | Golden Girl | Amen, 1
Comedy | [illegible] | Cosby | Different World | Cheers | [illegible], 1
Comedy | Cosby Show | Different World | Cheers | [illegible] | Golden Girl | [illegible] Pt I, 1
Comedy | Mr.Pres | Women in Prison | [illegible] | [illegible], 1
Comedy | [illegible] | [illegible] | [illegible] | [illegible] | [illegible] | [illegible] | [illegible] | ET, 1
Comedy | [illegible] | [illegible] | [illegible] | [illegible] | [illegible], 1
Comedy | [illegible] | [illegible] | [illegible] | [illegible] | ALF | [illegible], 1
Comedy | [illegible] | [illegible] | Marry and [illegible] Sideshow, 1
Comedy | Cosby Show | Cheers | [illegible] | [illegible] | My Two Dads, 1
Comedy | i | i, 1
Comedy | [illegible] | Women in Prison | [illegible] | Second Chance | [illegible] | [illegible], 1
Comedy | Cosby, 1
Comedy | Mr.President 1HR | Mae West 2HR, 1
CH5 7-10PM [illegible], 1
Frontline [illegible] Part II (end) | [illegible] 88, 1
Comedy FF | I | 227 | Golden Girls | Amen, 1
Comedy | ALF | [illegible] Family | Assault and Matrimony | [illegible] | [illegible] | [illegible], 1
Comedy | Cosby Show | A Different World | Cheers | [illegible] | [illegible] | [illegible], 1
Comdey | Dynasty 500, 1
Comedy | [illegible] | [illegible] | [illegible], 1
Comedy | [illegible] | [illegible] | Laura Lansing | Slept Here 2:00 | Amen, 1
Comedy | [illegible] | [illegible] | [illegible] | [illegible] | FF 2HR, 1
Comedy | [illegible] | Dynasty, 1
Comedy | Cosby Show | Dif World | Cheers | [illegible] | [illegible] | My Two Dads, 1
Comedy | [illegible] | [illegible] | [illegible] | [illegible] | [illegible] | [illegible], 1
Comedy | Cosby | Dif World | Cheers | [illegible] | [illegible] | My Two Dads | Returen [illegible], 1
Comedy | [illegible] | [illegible] | [illegible] | [illegible] | 20/20, 1
Comedies | Mr.Pres | [illegible] | [illegible], 1
Comedy | ALF | [illegible] | Cat | ALF, 1
Cairo: Obama Muslim Speech (Thu), 1
Cairo Obama/To: Muslims/FOX (Thu), 1
[illegible] Steve Jobs/WWDC (Fri), 1
Obama/D-day/[illegible] (Sat), 1
Sunday Speech [illegible] to Muslims, 1
[illegible]-CBS, 1
[illegible]-CBS (Fri), 1
[illegible] (Fri), 1
[illegible] Bankruptcy (Tue), 1
Obama/[illegible], 1
[illegible] Iran!!, 1
* Wed D.C. [illegible], 1
Sunday [illegible], 1
Silkwood, 1
[illegible] Part I II | Tiger Tiger | [illegible] | FF, 1
Upstair Downstair | FF, 1
Upstair Downstair | [illegible] | [illegible], 1
[illegible] | Upstair Downstair, 1
[illegible] | Pt I | Pt II | [illegible] 2HR, 1
Resting Place | [illegible] | BL, 1
Playtime [illegible] | [illegible] | BL, 1
[illegible] | [illegible] | [illegible], 1
[illegible] | [illegible] | [illegible] | [illegible] | [illegible] | [illegible], 1
Strong Medicine | Pt I | Pt II | [illegible] | [illegible], 1
All the [illegible] Pt I 2HR | FF, 1
Wonder Works [illegible] | [illegible] | [illegible] | BL, 1
[illegible] | [illegible] | FF, 1
Christopher Columbus Pt I 3HR | [illegible] | [illegible] 90, 1
New Wed | [illegible] | [illegible] | 11pm New | Nite Life | | | BL, 1
[illegible] | [illegible] | [illegible] | [illegible] | BL, 1
Upstair Downstair | I | II | III | IV | V | VI | VII, 1
King [illegible] Olivier 3 | [illegible] | BL, 1
August Moon | Sweet Bird of Youth | [illegible], 1
[illegible] | [illegible] II | [illegible] III | [illegible] | [illegible] | [illegible], 1
[illegible] | American Masters | [illegible] | [illegible] | [illegible] | [illegible] | Cuba: In the [illegible], 1
The Prime of [illegible] - Maggie Smith 2:30 | Bleak House | [illegible] | [illegible] | [illegible] | [illegible] | [illegible] | [illegible], 1
The Jewel the Crown, 1
Dynasty | 86-87 Finale | The Black [illegible] | Star Man | [illegible], 1
Right Stuff | [illegible] | [illegible], 1
[illegible] | [illegible] | [illegible] | Spearfields [illegible], 1
American Master [illegible] Chaplin Pt I I Pt II | Pt III | American Master | The Long Night of Lady Day | [illegible], 1
Master of the Game | [illegible] | Fri E.T., 1
Drama [illegible] | Thu | ABC [illegible] | ET | Fri [illegible] | ET, 1
The Last Convertible I II III, 1
[illegible] | [illegible] | Edge of [illegible], 1
A Year in the Life | Pt I | Pt II | Pt III, 1
[illegible] | [illegible] Pt I 2HR | Pt II | News 11PM CH7 | E.T | E.T, 1
[illegible] | 10PM News | [illegible] | Fri [illegible] | Sat [illegible] | Fri [illegible] | Sat [illegible], 1
[illegible] | [illegible] | On Fire | My Dissident Mom, 1
[illegible] Pt VII, 1
All of Me 2HR | The Thief of Bagdad 2 1/2HR | [illegible] 30 | [illegible] | [illegible] | [illegible], 1
Amerika | Pt [illegible] | [illegible] | Part [illegible], 1
Amerika | Pt III 2 1/2HR | Pt IV | [illegible], 1
[illegible] | [illegible] Red | Red | [illegible] | ? | [illegible] | [illegible] | [illegible], 1
Murder She Write | [illegible] 2HR | 1HR | 1HR, 1
Venegence - the story of the Limo 2, MR. Holos's [illegible], The george McKemma Story 2, 1
West 57th, MAM From Moscow 6-27-86, One cooks the other doesn't 7-20-86, 1
DRAMA, Dynasty, DOL our world [illegible], Ch 5, 1
Murder on the MKE - Acaman (?) Christie, A fight for Jenne 10-6-1986, Star M 10-31-86, 1
America PT I, 2 hr 20 m, PT II Commentary, 1
[ Hitchhiker's Guide to the Galaxy PT I B2 20M] [All Creatures Great and Small 10-30-82 B2 60] [NEWS 11-1-82 AM PM 30], 1
[UNDST HUM. BEH.] [SOCCER FROM GERN] [RIPLEY'S BELIEVE IT OR NOT], 1
UNDERSTANDING HUMAN BEHAVIOR B3, FIND DUB 4-4-82, DUB END FROM NEWS T 4-11-82/B2FS2, 1
NOTES OF A BIOLOGY WATCHER, UNDERSTANDING HUMAN BEHAVIOR 4-12-82, HUMAN BEHAVIOR 4-14-82, 1
TO THE MANOR BURN PT 2, CH 6, 1
LOVE IN A COLD CLIMATE 0:60,, 1
TROUBLE COME TO TOLON DUB ACE PRBJ 1:25, NOVA LOVE [illegible], 1
DOCTOR IN THE HOUSE #3, BENNY HILL, DOCT IN TV 3-14, 2-17 MONGR NORMAN LEAR, 1
LOVE IN A COLD CLIMATE, NEWS-5, 5-20-82 BARNEY MILLER LAST ONE, 1
THE ADVOCATES HAZARDOUS WASTE 5-12 1 HR, RODNEY DANGERFIELD SPECIAL 1 HR, 1
SELLARS ?, 1
GOOD NEIGHBORS 0:30, DOCTOR IN THE HOUSE 0:30, NEWS let 8/16 and 9/28, 1
AVAILABLE B3 1:35, SATURDAY NIGHT DUDLEY MOBILE PETER COOL 1 HR B3, NEWS PART 2, 1
SITCOMS 1, NEWS, 5-7-82 ? ALSO SITCOM FALKLANDS, 1
NEWS PA 3-31-82 MAKE PEACE WITH MATURE PT 1, 1
NEWS, 2-10-82 BAL. OF NEWS IS ON PRAY TV, 1
A TALE OF TWO CITIES NEWS 2 HRS,, 1
CITY SPACES, CALL THAT JAZZ- LAST 5 MIN, IN SEARCH OF M[intelligble] , MEET THE PRESS 12-13-82,, 1
SATURDAY NITE JULIAN BOND Ch 5-6, 1 HR, ALL THAT JAZZ (LAST 5 MIN OM "NOVA") B3 2:00, 1
9 to 5 (SERIES), DEBUT, NEWS MR. FREEZE 4-21-82, 1
DUB TAPE[illegible], 1
PA., 1
NEW WORLD OF ANIMALS EVR. FORG, 1
SEEMS LIKE OLD TIMES B3 1:40, RONALD REGAN AT HOME - BARBARA WALTERS 1:00, MASH FLAGG, 1
NEWS POLAND FROM HTS, BELUSH ACKROND, REAGAN NGLOS CONF, REAGAN INTV. B-3 BROKANS LAST DAY - PART 1 12-18-25, 1
PRAY TV CH 5 B3 2:00, NEWS 15M 1-10-82, 700 CLUB + 12-12-82, 1
DUB TAPE PA, TO THE MARCH B 30, SUNDAY NEWS PROG 4-18-82 F--LANDS INSIDE STORY, NEWS 4-19-82, 1
IMMIGRANTS 56 PT 1 2:00, NOVA 2ND BRON. LEC FROM X 9-12-82, 1
DOCUMENTARIES: [ADOPTN CUSTODY 3-18-82] [WEEKDAY US PRESIDENT 3-18-82] [MACN L C. AM 3-19-82] [WALL ST WK 3-19] [MEET THE PR 3-28-82], 1
DUB TAPE, 1
CRUCIFICTION OF JESUS 1982 1:00, 1
UNDST. HUMAN BEHAVIOR, J. KIRKPATRICK FALKHANDS 1/2 HR, 1
3:30 [Nite life 30] [NBC AM New CH 4 0:40], 1
NATURAL HISTORY OF A SUNBEAM. [HEAT BURG 4-13-82] [MAKING LIGHT WORK 4-14-52] [HUMAN BEHAVIOR 4-19-82] [NEWS 4-20-82 PT 1 NUKES NAZIS ARGENTINA], 1
MOV CH 7, 1
INSIDE STORY POLITICS + MEDIA, THIS OLD HOUSE, GROUND ZERO, TV 3-26-82, AM LOST + FOUND 3-27-82, NEWS, LAST 2, WK-- 4-21-82, 1
AFRICAN QUEEN 2 HRS B3, PRELUDE TO WAR (1942) PART 1, 1
THE PARALLAX VIEW B3 1:45, HOPSCOTCH HBO B3 1:46, NO SELLARS PRELUDE TO WAR 42 PART 2, 1
I REMEMBER HARLEM + G. STEIN, GERTY STEIN IS BACK BACK BACK 1-31-82, PT 3 2-14-82, BENTI PT SECT 7 2-26-82, 1
NOTHING TO FEAR- THE LEGEND FDR, ABC PRIME TIME FOR 3 HRS, 1-29-82, 1
NEWS, REAGAN + PRESS NADER, CGUDRAY AM., PT 2 ON INSIDE STORY MOCN-L, PT 1 PT2 INSIDE STORY 3-19-82, 1
SHOCK OF THE NEW B-3, PART 1 1-10-82 1 HR, DEFECTIVE TAPE, 1
STAR TREK, KHAN ← X 1:00, PART 1 MEETING OF MINDS: RUSSEL AUGUSTRE, THE DURA JEFFRSN 1:00, NEWS, 1
COMEDY, I LOVE LIBERTY 1982, NEWS SPACE/PARENTS NRU, 1
SPEC. LECT 9-4-82 LEAST 10M, NEWS, FAST FORWARD, #1 MET 9-13-82, #2 MET 9-13-82, 1
DISCOVER CH4 B3 1:00, PACE THE NATION 1-31-82, CH7 0:30, CUTTLE DEATH OF A PARENT 2-6-82, 1
UNDERSTANDING HUMAN BEHAVIOR B-3, 1
LIFE ON EARTH, AM PLAYHOUSE NORTHERN LIGHTS 1 HR, 10 NEWS 3-30-82, BLACK-L TEACHER EVAL. 3-30-82, 1
FLAMBARDS PT 3, MCNEIL LEHRER VETO OVERRIDE PT2 0:30, REWIND TO END, 1
DUB TAPE PA. INSIDE STORY E-C, 1
ADVENTURES O WELLING BLY B-3 2 HRS, DOMAHVE KEPS 6-12-81 B3, DISEMR 1:00, 1
1982 NEWS, SEE COMEDY TAPE 5-7-82, LAW MAKERS 5-9, 1
NOVACOM FRETZ TOWER, FF TO END OF TAPE ←ALL NEWS→, 1
2008 ELECT, CRISIS GAZA, UN EMERG. M + G (SAT), 1
GAZA, 2008 ELECT (SUN), 1
2009, 1 PM, 1
2009, 2-25 (TUE) WED 1:15 PM, 1
2008 ELECT RICHARDSON W/ DRAWS, 1
2008 ELECT, NEW YEARS DAY (THU), 1
2009, (FRI) 12:15 PM, 1
2008 ELECT, NEW YRS DAY (THU), 1
2009 (Thurs), 1
2008 ELECT, GAZA, (SUN), 1
2008 ELECT, HAPPY NEW YEAR, 1
2008 ELECT, COMEDY NICK, 11 AM, 1
2009, STIM SIGNED TUE/GM (WED) 3 PM, 1
2009, STIM. PASSED (SAT), 1
2008 ELECT, (MON) *, 1
2008 ELECT, GEO LOPEZ (TUE), 1
2009, SNL, (SAT) MATTHEWS, 1
2009, OBAMA/CONGRESS (WED), 1
2009, STIM. BILL, (SAT), 1
2009, LARRY KING, BILL CLINTON ON STIM/RECOV BILL (SUN), 1
[illegible] (SUN), 1
(LATER) ANALOGY/ DIGITAL MID. SWITCH 9PM, 1
POLITICS ALL DAY 2:30 PM (TUE), 1
STIM, 200TH BDAY/LINCOLN (THU), 1
2009, FED RES CHIEF/TREAS SECT (WED), 1
2009, 12:30 PM (THU), 1
2009, 7 AM, 1
2009, BECK (SUN), 1
2009, PRES/CONGRESS, 1
